TWD97,3824,7019,0,0,0
IGRS,3889,7019,0,0,0
Hermannskogel,3906,7004,653,-212,449
MOLDREF99,4023,7019,0,0,0
RGRDC 2005,4046,7019,0,0,0
REGCAN95,4081,7019,0,0,0
GGRS 87,4121,7019,-199.87,74.79,246.62
Finland Hayford,4123,7022,-78,-231,-97
RT 90,4124,7004,498,-36,568
Samboja,4125,7004,-404.78,685.68,45.47
Tete,4127,7008,-80,-100,-228
Indian 1960,4131,7015,198,881,317
FD58,4132,7012,-241.54,-163.64,396.06
Old Hawaiian,4135,7008,61,-285,-181
Puerto Rico,4139,7008,11,72,-101
NAD83(CSRS98),4140,7019,0,0,0
Israel 1993,4141,7019,-48,55,52
Locodjo 1965,4142,7012,-125,53,467
Abidjan 1987,4143,7012,-124.76,53,466.79
Kalianpur 1937,4144,7015,214,804,268
Kalianpur 1962,4145,7044,283,682,231
Kalianpur 1975,4146,7045,295,736,257
Hanoi 1972,4147,7024,-17.51,-108.32,-62.39
Hartebeeshoek94,4148,7030,0,0,0
CH-1903,4149,7004,674,15,405
NAD83(HARN),4152,7019,0,0,0
ED50(ED77),4154,7022,-117,-132,-164
Dabola 1981,4155,7011,-83,37,124
Naparima 1955,4158,7022,-0.465,372.095,171.736
ELD79,4159,7022,-115.8543,-99.0583,-152.4616
Pampa del Castillo,4161,7022,27.5,14,186.4
Yemen NGN96,4163,7030,0,0,0
South Yemen,4164,7024,-76,-138,67
Bissau,4165,7022,-173,253,27
NZGD2000,4167,7030,0,0,0
Accra,4168,7029,-199,32,322
American Samoa 1962,4169,7008,-115,118,426
SIRGAS 1995,4170,7019,0,0,0
RGF93,4171,7019,0,0,0
IRENET95,4173,7019,0,0,0
Sierra Leone 1968,4175,7012,-88,4,101
Pulkovo 1942(83),4178,7024,26,-121,-78
S42,4179,7024,28,-121,-77
EST97,4180,7019,0,0,0
Observatorio 1966,4182,7022,-425,-169,81
Southwest Base,4183,7022,-104,167,-38
Sao Braz,4184,7022,-203,141,53
REGVEN,4189,7019,0,0,0
POSGAR 98,4190,7019,0,0,0
Douala 1948,4192,7022,-206.1,-174.7,-87.7
Manoca 1962,4193,7011,-70.9,-151.8,-41.4
Qornoq 1927,4194,7022,164,138,-189
Adindan,4201,7012,-162,-12,206
Australian Geodetic 1966,4202,7003,-133,-48,148
Australian Geodetic 1984,4203,7003,-134,-48,149
Ain el Abd 1970,4204,7022,-150,-251,-2
Afgooye,4205,7024,-43,-163,45
Lisbon,4207,7022,-304.046,-60.576,103.64
Aratu,4208,7022,-151.99,287.04,-147.45
Arc 1950,4209,7012,-143,-90,-294
Arc 1960,4210,7012,-160,-8,-300
Djakarta (Batavia),4211,7004,-377,681,-50
Barbados 1938,4212,7012,31.95,300.99,419.19
Beduaram,4213,7011,-106,-87,188
Beijing 1954,4214,7024,15.8,-154.4,-82.3
Bermuda 1957,4216,7008,-73,213,296
Bogota Observatory,4218,7022,307,304,-318
Camacupa,4220,7012,-50.9,-347.6,-231
Campo Inchauspe,4221,7022,-148,136,90
Cape,4222,7012,-136,-108,-292
Carthage,4223,7012,-263,6,431
Chua Astro,4224,7022,-134,229,-29
Corrego Alegre,4225,7022,-206,172,-6
Deir ez Zor,4227,7011,-190.421,8.532,238.69
Old Egyptian,4229,7020,-130,110,-13
European 1950,4230,7022,-87,-98,-121
Oman,4232,7012,-346,-1,224
Gandajika Base,4233,7022,-133,-321,50
Hu-Tzu-Shan,4236,7022,-634,-549,-201
ID74,4238,7021,-24,-15,5
Indian 1954,4239,7015,217,823,299
Indian Thailand,4240,7015,214,836,303
JAD69,4242,7008,70,207,389.5
Kandawala,4244,7015,-97,787,86
Kertau 1948,4245,7018,-11,851,5
KOC,4246,7012,-294.7,-200.1,525.5
La Canoa,4247,7022,-273.5,110.6,-357.9
Prov So Amrican 1956,4248,7022,-288,175,-376
Leigon,4250,7012,-130,29,364
Liberia 1964,4251,7012,-90,40,88
Luzon Philippines,4253,7008,-133,-77,-51
Prov So Chilean 1963,4254,7022,16,196,93
Mahe 1971,4256,7012,41,-220,-134
ETRS89,4258,7019,0,0,0
Malongo 1987,4259,7022,-254.1,-5.36,-100.29
